"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ranking_metric"
"ENSG00000157911",816.290037415389,0.0056252619354635,0.195943011335413,0.0287086632849295,0.977096946914636,0.999821746150411,7.74215638052492e-05
"ENSG00000142655",1535.04621928325,0.10255971639964,0.209509980958683,0.489521863972034,0.62447227934231,0.999821746150411,7.74215638052492e-05
"ENSG00000149527",122.48445077302,1.01879098493457,0.378062917631522,2.69476570544676,0.00704381411164751,0.183937689982318,0.735329271989655
"ENSG00000171621",185.585642210852,-0.0765312710401456,0.256718103873935,-0.298114039817493,0.765616126275103,0.999821746150411,-7.74215638052492e-05
"ENSG00000173614",360.86300742228,-0.0260843314778384,0.204068665225628,-0.127821346060152,0.898290356917057,0.999821746150411,-7.74215638052492e-05
"ENSG00000204624",149.153928713188,-1.08757851244518,0.285352964911486,-3.81134470701062,0.000138212873099494,0.00833198981277196,-2.07925126972041
"ENSG00000142606",62.2399202332139,1.15363367002736,0.397298301753146,2.90369645411712,0.00368785520242994,0.115783838443005,0.93635205688544
"ENSG00000171729",2023.13157607889,-0.199236319590934,0.205615714099301,-0.968974187910141,0.332558067991882,0.999821746150411,-7.74215638052492e-05
"ENSG00000037637",1468.44167156719,-0.180929931132565,0.192553013801121,-0.939636973532072,0.347403804184954,0.999821746150411,-7.74215638052492e-05
"ENSG00000159423",779.307830547404,-0.41994032564186,0.194440873584485,-2.15973276554631,0.0307933631505846,0.496940387775991,-0.303695705457206
"ENSG00000157916",4227.71588498984,0.0688904639059183,0.199701273150902,0.344967574913066,0.730118747587463,0.999821746150411,7.74215638052492e-05
"ENSG00000157881",1388.49419260309,-0.150716142144022,0.158964905126294,-0.948109534140764,0.343073695078814,0.999821746150411,-7.74215638052492e-05
"ENSG00000048707",1203.52614402671,-0.0778215268656758,0.362682807294864,-0.214571866381321,0.830101130399815,0.999821746150411,-7.74215638052492e-05
"ENSG00000162444",4.17536852887043,0.313346944947285,1.04979144242979,0.298484948802812,0.765333061981448,0.999821746150411,7.74215638052492e-05
"ENSG00000180758",376.825457503201,0.271901601648617,0.21929042744927,1.23991550753631,0.215006647399312,0.999821746150411,7.74215638052492e-05
"ENSG00000184677",1974.40512244778,-0.245604202979124,0.329857421099063,-0.744576860392551,0.456527560819822,0.999821746150411,-7.74215638052492e-05
"ENSG00000288398",373.226892060087,0.100449158869493,0.236048010306,0.425545458905907,0.670439090172982,0.999821746150411,7.74215638052492e-05
"ENSG00000131697",1049.41271068559,-0.430239259671144,0.210468064289263,-2.04420210317435,0.0409335855088052,0.579772155153267,-0.236742646438204
"ENSG00000233929",2.57550986312368,1.12722128983331,1.517163597155,0.742979393881507,0.457494156095008,0.999821746150411,7.74215638052492e-05
"ENSG00000055070",5429.44720281091,-0.098558150562408,0.146501573553658,-0.672744655034778,0.501109753144311,0.999821746150411,-7.74215638052492e-05
"ENSG00000225643",2.7384910015378,-1.15901836522653,1.50010568044884,-0.772624475950083,0.439744654846511,0.999821746150411,-7.74215638052492e-05
"ENSG00000204138",3431.45119518684,-0.130135953477039,0.176501055307748,-0.737309775571217,0.460933988795523,0.999821746150411,-7.74215638052492e-05
"ENSG00000090020",738.884609406077,0.277474003794762,0.23294048174308,1.19117983151078,0.233582995380085,0.999821746150411,7.74215638052492e-05
"ENSG00000157978",505.110240445706,-0.117081900541475,0.176928138017545,-0.661748333834072,0.508132522887918,0.999821746150411,-7.74215638052492e-05
"ENSG00000158006",872.778052547797,0.184525930272269,0.19301743035512,0.956006563411253,0.339068918525247,0.999821746150411,7.74215638052492e-05
"ENSG00000196581",178.292269419388,-2.41354355042411,0.356004733933451,-6.77952656347338,1.2057032888176e-11,4.25554920470896e-09,-8.37104438359752
"ENSG00000169403",13.2053544946122,-0.946717677335606,0.720437585594567,-1.31408701637116,0.188816922909821,0.999821746150411,-7.74215638052492e-05
"ENSG00000171612",1359.57771053796,0.0195192020236294,0.253978645113254,0.0768537134880981,0.938739919870091,0.999821746150411,7.74215638052492e-05
"ENSG00000158161",1382.48733744013,-0.154068319166996,0.23557933547689,-0.653997596415284,0.51311335415461,0.999821746150411,-7.74215638052492e-05
"ENSG00000142627",3344.98849053995,-0.0373838423462599,0.21622457663766,-0.172893585583965,0.862735073689425,0.999821746150411,-7.74215638052492e-05
"ENSG00000142632",693.448731376092,-0.269755313883048,0.216901434489837,-1.2436769471697,0.213618483695838,0.999821746150411,-7.74215638052492e-05
"ENSG00000189337",973.790588067944,-0.0700354033257881,0.218537314751284,-0.320473432216805,0.74860946722658,0.999821746150411,-7.74215638052492e-05
"ENSG00000028137",64.6216812248275,0.0395924933472189,0.340012780286811,0.116444132817071,0.907300560333901,0.999821746150411,7.74215638052492e-05
"ENSG00000130939",2937.48055029959,-0.144924751675659,0.237948229533182,-0.609060012591725,0.542484661284636,0.999821746150411,-7.74215638052492e-05
"ENSG00000175147",248.097264921391,-0.268637127287442,0.325561618378514,-0.825149870630977,0.409286509435815,0.999821746150411,-7.74215638052492e-05
"ENSG00000060656",1845.94629098488,-0.826236065925533,0.250868343380507,-3.29350469171127,0.000989466902792857,0.0418002012235832,-1.37882162755316
"ENSG00000163867",409.639774109161,0.213254550269729,0.428372231400345,0.497825336559752,0.618607156222089,0.999821746150411,7.74215638052492e-05
"ENSG00000134698",810.429590979845,-0.516221860755447,0.302343399385379,-1.7074024496809,0.0877472753678008,0.844032363460916,-0.0736409005271635
"ENSG00000272420",11.4910393669975,0.299041248721555,1.10123051026241,0.271551910281069,0.785966580306927,0.999821746150411,7.74215638052492e-05
"ENSG00000132881",241.762799785025,-0.0874435748671727,0.237916295508964,-0.367539241816574,0.713216826135957,0.999821746150411,-7.74215638052492e-05
