ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-112316,Neuronal System,43/265,410/11091,1.275586911591023e-16,9.592413575164494e-14,8.338310232610795e-14,6804/7277/23415/5582/10382/9379/3746/6853/2901/10369/43/10815/4137/4128/3761/57576/50944/57497/3359/93107/1141/774/1103/2902/58512/3777/1741/6572/7102/80852/8224/3765/3745/7280/56666/55799/51305/3748/9066/81033/3768/22941/2892,43
R-HSA-112315,Transmission across Chemical Synapses,28/265,270/11091,5.202110403961947e-11,1.9559935118896923e-8,1.7002687162422998e-8,6804/7277/5582/10382/6853/2901/10369/43/10815/4137/4128/3761/57576/3359/1141/774/1103/2902/1741/6572/7102/80852/8224/3765/7280/55799/3768/2892,28
R-HSA-373760,L1CAM interactions,18/265,119/11091,3.8562122838318006e-10,9.666238791471714e-8,8.40248360792824e-8,1463/10752/7277/57731/10382/3673/286/1641/6900/23114/1741/6326/4897/3897/2596/7280/55800/4684,18
R-HSA-5576891,Cardiac conduction,15/265,132/11091,5.62351762020433e-7,1.057221312598414e-4,9.190011689860235e-5,775/6543/3761/30818/3777/6326/1482/491/4881/6547/55800/25937/51305/478/3768,15
R-HSA-1971475,A tetrasaccharide linker sequence is required for GAG synthesis,7/265,26/11091,1.8312286765715175e-6,2.4588983126028256e-4,2.1374242051040802e-4,1463/6383/63827/633/10675/2719/27087,7
R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,18/265,205/11091,1.9618869515448078e-6,2.4588983126028256e-4,2.1374242051040802e-4,7277/5582/10382/2901/10369/4137/3761/57576/3359/1141/2902/1741/7102/80852/3765/7280/3768/2892,18
R-HSA-1474244,Extracellular matrix organization,22/265,300/11091,2.946656885697554e-6,3.165551397206515e-4,2.751690114313054e-4,5054/1463/3910/170690/3673/6383/4327/10893/63827/1303/633/10319/50859/1756/4318/3914/22801/64386/1297/655/3679/4684,22
R-HSA-3560783,"Defective B4GALT7 causes EDS, progeroid type",6/265,20/11091,5.142223473784578e-6,3.866952052286003e-4,3.361390291810761e-4,1463/6383/63827/633/10675/2719,6
R-HSA-3560801,Defective B3GAT3 causes JDSSDHD,6/265,20/11091,5.142223473784578e-6,3.866952052286003e-4,3.361390291810761e-4,1463/6383/63827/633/10675/2719,6
R-HSA-4420332,Defective B3GALT6 causes EDSP2 and SEMDJL1,6/265,20/11091,5.142223473784578e-6,3.866952052286003e-4,3.361390291810761e-4,1463/6383/63827/633/10675/2719,6
