"","Control1_Count","Control2_Count","Control3_Count","FIH22KO1_Count","FIH22KO2_Count","FIH22KO3_Count","FIH23KO1_Count","FIH23KO2_Count","FIH23KO3_Count"
"TSPAN6",10.8873308324584,10.5826588556349,10.6843865272362,10.7976035897601,10.65668266688,10.7524542357944,10.3990669513958,10.4830556892991,10.5854933663201
"DPM1",10.9107546686663,10.552364168083,10.45936922941,10.8825983605213,10.6551549189294,10.7537436213802,9.81829536250352,10.3657698195339,10.8529960556254
"SCYL3",8.81994345258072,8.89864745598661,8.9439463617001,8.85007175370541,8.95109551246824,8.87223761751863,8.91405077095137,9.08156680653152,8.70133983754085
"FIRRM",9.34479772530583,9.71988397184269,9.59854069278071,9.37808755064153,9.59545425658007,9.29442972456707,9.43785314114201,9.58807313310695,9.43428250705506
"FUCA2",9.80147800987506,9.75438116845911,9.62561042485736,9.69097131926766,9.6426161422865,9.83414883246434,9.59517783118702,9.6135415384527,9.70255468749967
"GCLC",10.6318454518675,10.8054953658501,10.7284313443734,10.6219008538081,10.8278575943825,10.7752019464839,10.4551542611507,10.6949551190358,10.6554176392706
"NFYA",11.6933237742127,11.9496704497648,11.9154103818371,11.659297526394,11.9258690318388,11.6656959833767,11.8991408777065,11.95780375548,11.6183801618972
"STPG1",8.9461757677463,9.01109673573121,9.13422818261909,9.14229406280676,9.15588071103261,9.20935200429436,9.34042762710492,9.2579158922987,9.1184294104146
"NIPAL3",8.94789826159174,9.1726693908785,9.1625179264034,9.18612976802355,9.39138324889712,9.19844025325303,9.49451818930502,9.34058351770332,9.10688873284108
"LAS1L",11.688733095138,11.5094185078658,11.5358261738358,11.6051995442839,11.5013328900886,11.5792137660464,11.5873354572529,11.4644657820583,11.5388686072566
"SEMA3F",11.3342286248979,11.4078700753533,11.445967652077,11.2743884053199,11.3229056600972,11.3595918215269,11.2732229424867,11.0895775176587,11.0097056423411
"ANKIB1",11.5404116275275,12.0574032886659,11.9967372070679,11.5897300133467,12.1338676851529,11.7009978979454,11.9252563882766,12.0678233996437,11.7220210400173
"CYP51A1",6.23476259364583,6.70959645171825,6.65516459255348,6.16602445329075,6.66435831289989,6.29077835183354,6.89398719060516,6.59249217208423,6.23136354778031
"KRIT1",8.97481277502914,8.90352438204874,8.76121996503975,9.00211076740239,8.85116548894786,8.81050114538094,8.29496137632553,8.64221049362834,8.81812993992328
"RAD52",8.44995530356278,8.28972791745484,8.31773391390202,8.25109798702672,8.31730193836842,8.3093827654501,8.31301336350116,8.21521079851309,8.26050985866103
