symbol,Pathway
NT5C1A,Other
SYT4,Other
SERPINE1,Other
PRRX1,Other
VGF,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
VGF,Post-translational protein phosphorylation
ADAMTS17,Defective B3GALTL causes PpS
ADAMTS10,Defective B3GALTL causes PpS
TUBA4A,Transmission across Chemical Synapses
LEF1,Other
NTN1,Other
LUM,Other
APOE,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
APOE,Post-translational protein phosphorylation
PTPRN,Other
CBFA2T3,Other
PRPH,Other
CHST1,Other
GDF6,Other
BHLHE41,Other
GJA1,Other
NGFR,Other
PPP4R4,Other
ACHE,Transmission across Chemical Synapses
AKAP6,Other
CHAT,Transmission across Chemical Synapses
NEFH,Other
ASCL1,Other
CHGA,Other
VIPR2,Other
DMD,Other
LDB2,Other
IFI44,Other
KIF17,Transmission across Chemical Synapses
GRIK5,Transmission across Chemical Synapses
CNIH3,Other
SHANK1,Other
IFI44L,Other
GAD1,Transmission across Chemical Synapses
FAIM2,Other
GRIN1,Transmission across Chemical Synapses
NUDT11,Other
TRPA1,Other
KCNIP3,Other
LGI1,Other
MAOA,Transmission across Chemical Synapses
RORC,Other
LMO4,Other
TRIM63,Other
SPINK5,Other
PTGDS,Other
AKR1C3,Other
MMP19,Other
UTRN,Other
BASP1,Other
MAP2,Other
PPP2R2C,Other
C3,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
C3,Post-translational protein phosphorylation
FAM20C,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
FAM20C,Post-translational protein phosphorylation
SYK,Other
FDCSP,Other
TNFRSF4,Other
FOXO1,Other
SPP1,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
SPP1,Post-translational protein phosphorylation
CXCL12,Other
ADAMTS16,Defective B3GALTL causes PpS
DLK1,Other
IGFBP3,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
IGFBP3,Post-translational protein phosphorylation
VLDLR,Other
IL15,Other
MAP3K5,Other
IL33,Other
CXCR4,Other
TNF,Other
CHST13,Other
ASS1,Other
GMPR,Other
NPR1,Physiological factors
PHLDA2,Other
IGF2,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
MYCN,Other
CDKN1C,Other
PTPRC,Other
COL6A3,Other
LAMB3,Other
PDGFC,Other
S100A13,Other
SIX3,Other
PCSK2,Other
BMAL2,Other
DRAXIN,Other
B4GALT6,Other
INSM2,Other
DSCAML1,Other
APOL1,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
APOL1,Post-translational protein phosphorylation
GREM2,Other
RIT2,Other
NKX2-5,Physiological factors
NDN,Other
LINGO1,Other
NPAS3,Other
TPPP,Other
POU3F3,Other
VIP,Other
IFIT1,Other
RIMS3,Other
SLC18A3,Transmission across Chemical Synapses
DLG3,Transmission across Chemical Synapses
NUDT10,Other
TRPM3,Other
DPP6,Other
MAOB,Other
CHGB,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
CHGB,Post-translational protein phosphorylation
SPINK4,Other
AKR1C1,Other
LRP1B,Other
GAP43,Other
PPP2R2B,Other
CFI,Other
ODAM,Other
CARD11,Other
NRIP1,Other
C1S,Other
UNC5D,Other
TF,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
TF,Post-translational protein phosphorylation
CEBPD,Other
SEMA5B,Defective B3GALTL causes PpS
RELN,Other
TNIK,Other
CHST15,Other
CPS1,Other
PDE1A,Other
LTB,Other
CDKN2A,Other
WWTR1,Physiological factors
ABLIM3,Other
PROM1,Other
DIO3,Other
ITGA7,Other
CD177,Other
VEGFC,Other
FGF1,Other
NR4A3,Other
CRABP2,Other
