"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"CC","GO:0062023","collagen-containing extracellular matrix","27/307","428/19894",0.0630841121495327,4.08793266157265,8.0851245309198,6.8392598778319e-10,2.27747353931802e-07,1.929391207641e-07,"LUM/EDIL3/HMCN2/CTSC/HTRA1/SRPX/COL16A1/TGM2/ACHE/CXCL12/TIMP3/SERPINE1/ECM1/APOE/MATN3/COL1A1/ADAMTS10/NDP/GDF15/C17orf58/TGFBI/EMILIN2/DCN/LAMB3/SRPX2/FGL1/NCAN",27
"CC","GO:0043025","neuronal cell body","27/307","488/19894",0.055327868852459,3.58531799006782,7.23921096685055,1.14358666031408e-08,1.90407178942294e-06,1.61305907875881e-06,"PTPRN/SYT4/ASS1/HMCN2/GAP43/TUBB4A/SERPINI1/KCNK1/VGF/MAOB/ATP1A3/BRINP1/MYO1D/ZNF385A/CHRM2/CPLX1/RTN1/APOE/GABRD/MAP2/PRPH/CPLX2/PDE1A/AKAP12/SEZ6L/SEZ6/ADAM21",27
"CC","GO:0008328","ionotropic glutamate receptor complex","6/307","41/19894",0.146341463414634,9.48311750218479,6.80721875252906,3.6700454774314e-05,0.00397736743439943,0.00336947833860929,"GRIK5/GRIN1/CNIH3/OLFM2/CACNG2/DLG3",6
"CC","GO:0098984","neuron to neuron synapse","17/307","360/19894",0.0472222222222222,3.06006152732537,4.93822890961506,4.83350492744079e-05,0.00397736743439943,0.00336947833860929,"ZDHHC15/GRIK5/GRIN1/NEFH/GAP43/TNIK/ATP1A3/INSYN2B/CHRM2/SYT12/GRM7/DMTN/RTN1/PLPPR4/SHANK1/CACNG2/DLG3",17
"CC","GO:0043679","axon terminus","9/307","112/19894",0.0803571428571429,5.20724755700326,5.58994258072431,6.03750315355244e-05,0.00397736743439943,0.00336947833860929,"SLC18A3/PTPRN/SCGN/GRIN1/CHRM2/CPLX1/GAD1/CPLX2/TPBG",9
"CC","GO:0098878","neurotransmitter receptor complex","6/307","46/19894",0.130434782608696,8.45234386064297,6.33503171149689,7.16642780972871e-05,0.00397736743439943,0.00336947833860929,"GRIK5/GRIN1/CNIH3/OLFM2/CACNG2/DLG3",6
"CC","GO:0044306","neuron projection terminus","9/307","128/19894",0.0703125,4.55634161237785,5.05340875156534,0.000169011549966933,0.00804012087699839,0.00681129254002076,"SLC18A3/PTPRN/SCGN/GRIN1/CHRM2/CPLX1/GAD1/CPLX2/TPBG",9
"CC","GO:0032279","asymmetric synapse","15/307","329/19894",0.0455927051671733,2.95446669900894,4.47529497134242,0.000196308558145345,0.00817134373279998,0.00692245968196742,"ZDHHC15/GRIK5/GRIN1/NEFH/GAP43/TNIK/INSYN2B/CHRM2/GRM7/DMTN/RTN1/PLPPR4/SHANK1/CACNG2/DLG3",15
"CC","GO:0043198","dendritic shaft","5/307","39/19894",0.128205128205128,8.30785935020463,5.71903698809806,0.000317198754761767,0.0108760941554219,0.00921382403557158,"GRM7/CNIH3/MAP2/JPH4/SEZ6",5
"CC","GO:0043083","synaptic cleft","4/307","22/19894",0.181818181818182,11.782055078472,6.33472059980236,0.000326609434096754,0.0108760941554219,0.00921382403557158,"GRIN1/ACHE/APOE/LGI1",4
