"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","13/101","370/8544",0.0351351351351351,2.97222370885737,4.24186864701044,0.000391208533589128,0.0813984781907047,0.0790916387278102,"718/3352/7432/3357/5618/2563/2902/1129/2901/7434/57105/7425/2917",13
"hsa04020","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","10/101","254/8544",0.0393700787401575,3.33047477976144,4.12383704710917,0.000804988758853322,0.0813984781907047,0.0790916387278102,"2250/3357/8913/2246/2902/1129/7852/5136/57105/56034",10
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","12/101","362/8544",0.0331491712707182,2.80422296373284,3.83647391106221,0.00110495671752088,0.0813984781907047,0.0790916387278102,"6696/2250/5522/5618/6850/2246/1129/5649/5521/3679/56034/3914",12
"hsa04390","Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","7/101","157/8544",0.0445859872611465,3.77170965504194,3.8336435926431,0.0025111340896717,0.138740158454362,0.134808251129744,"25937/5522/51176/2246/5054/5521/1741",7
"hsa04540","Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","5/101","92/8544",0.0543478260869565,4.59750322858373,3.79431040946077,0.00456209731127267,0.201644701158252,0.195930073999921,"7277/2697/3357/56034/10382",5
"hsa04810","Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","8/101","232/8544",0.0344827586206897,2.91703653123933,3.23771866950864,0.00605090871349365,0.222875137613683,0.216558838167141,"2250/2246/1129/7852/3679/56034/10788/6387",8
"hsa05218","Human Diseases","Cancer: specific types","hsa05218","Melanoma","4/101","73/8544",0.0547945205479452,4.63529092635291,3.41154227314681,0.0107389691481966,0.292811163685934,0.284512871597668,"2250/2246/1029/56034",4
"hsa04928","Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","5/101","115/8544",0.0434782608695652,3.67800258286698,3.16220033422962,0.0115158837687015,0.292811163685934,0.284512871597668,"6257/6559/64386/5337/5744",5
"hsa04724","Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","5/101","116/8544",0.0431034482758621,3.64629566404916,3.13850331561095,0.0119244365301964,0.292811163685934,0.284512871597668,"50944/2902/5337/2901/2917",5
"hsa04024","Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","7/101","226/8544",0.0309734513274336,2.62016998159993,2.69974557691966,0.0173756243480701,0.332117603107514,0.322705363343333,"3352/7432/2902/1129/5337/7434/478",7
