"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0050804","modulation of chemical synaptic transmission","24/296","493/18888",0.0486815415821501,3.1064086398772,5.97971494253724,1.01454873199726e-06,0.00185002781533971,0.00163140904252747,"SLC18A3/GRIK5/SCGN/GRIN1/NEFH/SYT4/SYBU/VGF/MYOF/ACHE/CHRM2/CPLX1/SYT12/GRM7/APOE/PLPPR4/SHANK1/LGI1/JPH3/RELN/CPLX2/JPH4/AKAP12/CACNG2",24
"BP","GO:0099177","regulation of trans-synaptic signaling","24/296","494/18888",0.048582995951417,3.10012036327826,5.96806933113013,1.05145087544172e-06,0.00185002781533971,0.00163140904252747,"SLC18A3/GRIK5/SCGN/GRIN1/NEFH/SYT4/SYBU/VGF/MYOF/ACHE/CHRM2/CPLX1/SYT12/GRM7/APOE/PLPPR4/SHANK1/LGI1/JPH3/RELN/CPLX2/JPH4/AKAP12/CACNG2",24
"BP","GO:0035640","exploration behavior","6/296","35/18888",0.171428571428571,10.9389961389961,7.42592571799254,1.55903049840856e-05,0.0125863539652801,0.0110990178099777,"CHL1/BRINP1/APOE/GAD1/JPH3/NDP",6
"BP","GO:0099519","dense core granule cytoskeletal transport","4/296","11/18888",0.363636363636364,23.2039312039312,9.29445690422904,1.7883424218926e-05,0.0125863539652801,0.0110990178099777,"SYT4/SYBU/KIF1A/MAP2",4
"BP","GO:1901950","dense core granule transport","4/296","11/18888",0.363636363636364,23.2039312039312,9.29445690422904,1.7883424218926e-05,0.0125863539652801,0.0110990178099777,"SYT4/SYBU/KIF1A/MAP2",4
"BP","GO:0048732","gland development","20/296","449/18888",0.044543429844098,2.84235237464636,4.98530205703888,2.97616145826834e-05,0.0174551869527438,0.0153924982087282,"GJA1/LBH/SIX3/LEF1/ID4/FGF1/LMO4/ASS1/NRG1/PRLR/TGM2/SEMA3C/ELF3/SULF2/SOSTDC1/SOD2/SNAI2/ZNF703/FGL1/CCDC40",20
"BP","GO:0051960","regulation of nervous system development","20/296","468/18888",0.0427350427350427,2.72695772695773,4.77335913569169,5.3119832447854e-05,0.0267040986262855,0.0235484610610938,"LEF1/ID4/HES7/CXCR4/SYT4/DRAXIN/TPPP/CTSC/TGM2/SEMA3C/BRINP1/CXCL12/MAP2/RELN/BHLHE41/SPP1/BHLHE40/SRPX2/TPBG/NCAN",20
"BP","GO:0007409","axonogenesis","19/296","455/18888",0.0417582417582418,2.66462726462726,4.53512206400921,0.000110509396572222,0.0432034658959954,0.0380980893080853,"NEFH/CHL1/LMO4/DRAXIN/HMCN2/GAP43/SEMA3C/CXCL12/PHOX2B/APOE/MAP2/PLPPR4/B4GALT6/NELL2/LGI1/NDP/UNC5D/RELN/SPP1",19
"BP","GO:0015850","organic hydroxy compound transport","15/296","311/18888",0.0482315112540193,3.07769183974972,4.66163030447022,0.000124653301747632,0.0432034658959954,0.0380980893080853,"SLC18A3/SYK/SYT4/C1QTNF1/AKR1C1/MAOB/TGM2/CXCL12/SYT12/ABCC3/APOE/SPP1/SLCO2B1/ABCB4/PON1",15
"BP","GO:0120161","regulation of cold-induced thermogenesis","10/296","151/18888",0.0662251655629139,4.22588151064972,5.02170442678843,0.000137631477271095,0.0432034658959954,0.0380980893080853,"GJA1/SYK/IL15/CXCR4/PRLR/ACHE/PHOX2B/PDGFC/YBX2/ARRDC3",10
