"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa00760","Metabolism","Metabolism of cofactors and vitamins","hsa00760","Nicotinate and nicotinamide metabolism","2/50","38/8544",0.0526315789473684,8.99368421052632,3.7888740935097,0.0206333202293563,0.641333971920503,0.641333971920503,"84618/54981",2
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","3/50","105/8544",0.0285714285714286,4.88228571428571,3.07093572678412,0.0232857689834177,0.641333971920503,0.641333971920503,"1293/255631/1303",3
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","4/50","203/8544",0.0197044334975369,3.36709359605911,2.61871638692652,0.0304429339673101,0.641333971920503,0.641333971920503,"63923/81/1293/7424",4
"hsa03265","Genetic Information Processing","Information processing in viruses","hsa03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus","1/50","12/8544",0.0833333333333333,14.24,3.52117217860131,0.0680503752984521,0.641333971920503,0.641333971920503,"4804",1
"hsa03018","Genetic Information Processing","Folding, sorting and degradation","hsa03018","RNA degradation","2/50","78/8544",0.0256410256410256,4.38153846153846,2.30174165742744,0.07610436871117,0.641333971920503,0.641333971920503,"140886/196513",2
"hsa00533","Metabolism","Glycan biosynthesis and metabolism","hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate","1/50","14/8544",0.0714285714285714,12.2057142857143,3.21931241387594,0.0789419971704388,0.641333971920503,0.641333971920503,"8534",1
"hsa00604","Metabolism","Glycan biosynthesis and metabolism","hsa00604","Glycosphingolipid biosynthesis - ganglio series","1/50","15/8544",0.0666666666666667,11.392,3.09050739710803,0.0843409303640472,0.641333971920503,0.641333971920503,"6489",1
"hsa00360","Metabolism","Amino acid metabolism","hsa00360","Phenylalanine metabolism","1/50","16/8544",0.0625,10.68,2.97334860184069,0.0897088461199149,0.641333971920503,0.641333971920503,"4128",1
"hsa00603","Metabolism","Glycan biosynthesis and metabolism","hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series","1/50","16/8544",0.0625,10.68,2.97334860184069,0.0897088461199149,0.641333971920503,0.641333971920503,"6489",1
"hsa04360","Organismal Systems","Development and regeneration","hsa04360","Axon guidance","3/50","184/8544",0.016304347826087,2.78608695652174,1.87906779238295,0.0924026098845712,0.641333971920503,0.641333971920503,"54437/25791/9423",3
